,description,generated_keywords
7961,"It occurs when an attacker, masquerading as a trusted entity, dupes a victim into opening an email, instant message, or text message.",instant message entity opening attacker
7962,I will discuss six common phishing attacks and provide some useful tips on how organizations can protect themselves against those scams.,attacks provide organizations discuss tips
7963,"Phishing is like an online con game, and phishers are nothing more than tech-savvy con artists.",like online savvy tech artists
7964,"Phishing is the process of attempting to acquire sensitive information such as usernames, passwords and credit card details by masquerading as a trustworthy ...",sensitive information card acquire usernames
7965,This definition explains the meaning of phishing and the different techniques attackers use to execute phishing attacks.,attackers use techniques definition explains
7966,Phishing is a trick used to get you to reveal your passwords and bank account details.,account details used trick passwords
7967,Phishing is a type of online scam where criminals send an email that appears to be from a legitimate company and ask you to provide sensitive information.,ask provide type sensitive criminals
7968,US-CERT partners with the Anti-Phishing Working Group (APWG) to collect phishing email messages and website locations to help people avoid becoming ...,help people phishing anti cert
7969,Phishing is the fraudulent use of electronic communications to deceive and take advantage of users.,fraudulent use electronic communications phishing
7970,"Phishing is a fraudulent attempt, usually made through email, to steal your personal information.",usually email attempt steal fraudulent
7971,"Definition of phishing types; spear phishing, whaling, pharming.",phishing types definition spear whaling
7972,Phishing is an email that falsely claims to be a legitimate enterprise in an attempt to scam the user into surrendering private information.,enterprise attempt information falsely phishing
7973,Phishing is a fraudulent activity done to steal personal information over the network.,personal information activity network steal
7974,"Phishing scams are attempts by scammers to trick you into giving out your personal information such as your bank account numbers, passwords and credit card ...",giving personal card numbers trick
7975,Phishing is a common method of online identity theft and virus spreading.,phishing common identity spreading method
7976,"Phishing is a method of tricking you into sharing passwords, credit card numbers, and other sensitive information by posing as a trusted institution in an email or ...",sensitive information card institution posing
7977,Cybercriminals have become quite savvy in their attempts to lure people in and get you to click on a link or open an attachment.,people click attempts savvy attachment
7978,Ever wonder how good you are at telling the difference between a legitimate website and one that's a phishing attempt?,good telling attempt legitimate website
7979,A phishing attack happens when someone tries to trick you into sharing personal information online.,happens tries attack sharing online
7980,"Phishing is usually done through email, ads, or by sites that look similar to sites you already use.",sites look usually email ads
7981,Phishing definition is - a scam by which an Internet user is duped (as by a deceptive e-mail message) into revealing personal or confidential ...,internet user confidential revealing phishing
7982,"Phishing is a way that criminals steal confidential information – such as online banking logins, credit ...",phishing way banking online confidential
7983,"Phishing scams are typically fraudulent email messages appearing to come from legitimate enterprises (for example, your university, your ...",come legitimate messages university phishing
7986,Phishing attacks are one of the most common security challenges that both individuals and companies face in keeping their information secure.,common security companies challenges face
7987,The definition of Phishing defined and explained in simple language.,simple language defined definition explained
7988,Phishing is a form of identity theft in which a scammer uses an authentic-looking email from a legitimate business to trick recipients into giving out sensitive ...,form identity trick authentic recipients
7989,41% of IT Pros report AT LEAST DAILY phishing attacks.,report daily attacks phishing 41
7990,"Phishing is a method of identity theft carried out through the creation of a fraudulent website, email or text appearing to represent a legitimate ...",method identity website text appearing
7991,Phishing attacks use email or malicious websites to infect your machine with malware and viruses in order to collect personal and financial information.,viruses order websites attacks financial
7992,"Phishing is an email that impersonates a legitimate, trusted sender with the goal of collecting sensitive data such as financial data or login passwords.",data financial login goal phishing
7994,Related articles in this section: History of Phishing · Phishing - Technical Details and Reasons for Attack ...,details reasons articles section attack
7995,"If you're checking email or surfing social media sites from your phone, you may be more susceptible to falling victim to a phishing attack.",checking email media attack surfing
7998,MetaCompliance have phishing covered with The Ultimate Guide to Phishing - Everything you need to know about phishing and how to protect your business.,need know covered ultimate metacompliance
7999,Phishing attacks involved tricking a victim into taking some action that benefits the attacker.,victim taking action benefits phishing
8000,"Spam is a form of unsolicited electronic junk mail sent to large groups, while phishing scams involve acquiring sensitive information by posing as a legitimate ...",spam form sensitive groups acquiring
8002,"The latest articles about phishing from Mashable, the media and tech company.",media tech latest articles phishing
8003,Companies and individuals are often targeted by cybercriminals via emails designed to ...,individuals targeted companies designed emails
8004,"In Usenet newsgroups, cracker and pirate groups used variant spellings of phish and warez (i.e. wares) to evade scans and filters by mainstream servers ...",groups used wares evade spellings
8005,These are attempts to capture sensitive information by cybercriminals ...,sensitive information capture attempts cybercriminals
8006,Phishing attacks can trick you into giving up your passwords or trick you into installing malware on your device.,trick giving device attacks installing
8007,"Phishing attacks are one of the highest visibility problems for banking and e-commerce sites, with the potential to destroy a customer's ...",sites potential destroy commerce visibility
8009,"Phishing emails often look ""official"", some recipients may respond to them and click into malicious websites resulting in financial losses, identity theft, and other ...",emails look theft losses recipients
8010,Phishing is the act of attempting to trick the recipient of a malicious email into opening and engaging with it.,act attempting opening email recipient
8011,"These are targeted and simple forms of phishing emails designed to get victims to purchase gift cards, the ""email compromise"" gets its name because the ...",targeted simple purchase gets cards
8012,"Learn about how phishing work, deliver malware do your devices, and what you can do to protect yourself.",work deliver learn protect devices
8013,"Phishers often lay their bait in the form of cautionary emails, luring in the believing ...",bait form emails luring cautionary
8014,"In this age, the online equivalent of The Sting is a phishing site: a fake reality that lives online, set up to capture precious information such as ...",lives online capture equivalent sting
8015,Phishing attacks use 'spoofed' e-mails and fraudulent websites designed to fool recipients into giving away personal data.,away personal data recipients designed
8016,"Losses accounting to over $48 million from 26,379 victims of phishing scams were recorded in the Federal Bureau of Investigation's Internet ...",recorded federal bureau phishing 26
8017,Phishing is when someone tries to get access to your Facebook account by sending you a suspicious message or link that asks for your personal information.,account sending tries facebook suspicious
8018,"Phishing is a social engineering technique where a malicious person sends an email, text or instant message that looks and sounds legitimate in order to ...",person sends text technique engineering
8019,"LOS ANGELES (AP) — A man who hacked Los Angeles County court computers, sent 2 million malicious phishing emails and stole hundreds of credit card ...",hundreds credit los stole phishing
8020,Instagram has added a new feature to its app to help users work out if a suspicious email is a phishing scam.,users work added suspicious phishing
8021,That's because these emails are often phishing scams designed to trick you into clicking on a malicious attachment or visiting a malicious web ...,malicious web designed clicking visiting
8022,"The most common form of phishing is emails pretending to be from a legitimate retailer, bank, organization, or government agency.",common form agency pretending retailer
8023,"Phishing attacks are one of the most prevalent methods of cybercrime because they are easy to deploy, can bypass detection methods, and offer low risk and ...",methods offer attacks bypass deploy
8024,It doesn't matter how smart they are or how much training they've received.,matter smart training received doesn
8025,Phishing is a serious threat to any industry.,threat industry phishing
8026,Can you tell the difference between email that's legitimate and ones that are phishing for your ...,tell difference ones legitimate email
8027,Web analytics help phishers hone their attacks — but website defenders can also use these tactics to better detect the scope of attacks and ...,use tactics analytics hone defenders
8028,"Usernames, passwords, and credit card numbers are often targeted for phishing attacks, ...",passwords credit numbers attacks targeted
8029,"An #Ocala employee fell for a spear-phishing attack, one of the most common variants of #phishing ...",attack common employee phishing spear
8030,Your go-to place to confirm any suspect phishing activity or to stay up to date.,place confirm date activity suspect
8031,"Phishing attacks: defending your organisation provides a multi-layered set of mitigations to improve your organisation's resilience against phishing attacks, ...",improve organisation defending phishing layered
8032,Internet scammers casting about for people's financial information have a new way ...,new way internet financial scammers
8033,"Like actual fishing, it's no fun to be on the end of the hook.",like actual end fun hook
8034,Healthcare phishing has become the preferred method for hackers to breach healthcare organizations to steal valuable medical data and/or deploy ...,valuable medical deploy breach steal
8035,Phishing is an email fraud method used by hackers and thieves to lure unsuspecting recipients into giving away their sensitive information or downloading ...,giving away method phishing downloading
8036,"Seeking to gain access to the personal data of clients of well-known companies, they sent out GDPR-related phishing emails prompting to ...",companies sent gain prompting phishing
8037,A single phishing campaign can bring in millions.,bring millions phishing campaign single
8038,Phishing awareness training can protect your users and your business from email fraud.,users business protect awareness training
8039,"Phishing is a form of cybercrime, where an attacker poses as a legitimate institution and uses their fraudulent authority to lure information from their target.",legitimate institution attacker lure poses
8040,Spear-phishing is a simple yet dangerous email-based cyber attack - and an effective precursor to more advanced attacks.,attack effective email phishing spear
8041,Free Phishing Test for employees and personal use.,personal use free employees test
8042,"You may have heard the term “phishing” before, but you may not know what a phishing email or text message looks like – and some ways to check to make sure ...",make sure email term text
8043,You or an employee at your business receives an email or message from someone disguised as a trusted person or company asking you to click a link ...,person company link trusted receives
8044,Phishing is a type of social engineering attack in which cyber criminals trick victims into handing over sensitive information or installing malware.,type social phishing handing engineering
8045,Phishing scams aim to get your personal and financial data through impersonation of authoritative entities.,personal financial aim phishing authoritative
8046,"On the Internet, ""phishing"" refers to criminal activity that attempts to fraudulently obtain sensitive information.",activity attempts sensitive refers phishing
8047,"Phishing is today's #1 security threat, and Cyren email security service provides protection against fast-moving phishing attacks.",today security fast cyren email
8048,Fishing rods hanging out of a boat to illustrate a threat actor phishing for access.,hanging boat access illustrate actor
8049,Phishing has been around since 1996 and is rapidly becoming more common and sophisticated.,rapidly common sophisticated phishing 1996
8050,"As any type of fraud, phishing can be extremely damaging and has already claimed victims on campus.",type fraud claimed damaging campus
8052,Anti-Phishing Identity theft is one of the fastest-growing crimes in the country.,growing crimes identity fastest anti
8053,"Phishing attacks steal personal information by tricking you into doing something, like clicking a link or entering your username and password.",like clicking steal attacks phishing
8057,"We had been notified that our website www.parasolco.com specifically www.parasolco.com/careers/ has been blocked as ""SPAM Urls"".",notified website careers urls www
8058,"This category includes URLs found in spam, particularly on these topics: computing, finance and stocks, entertainment, games, health and medicine, humor and ...",particularly topics games computing stocks
8059,"Spam URLs are URLs that were spotted in spam (uncolicited commercial emails, or UCE).",commercial emails urls spotted uce
8060,"FortiGuard URL Database Categories are based upon the Web content viewing ..... Spam URLs, Websites or webpages whose URLs are found in spam emails.",web content categories viewing fortiguard
8061,"This paper addresses the challenge of detecting spam URLs in social media, which is an important task for shielding users from links associated with phishing, ...",media important paper phishing urls
8062,Referrer spam is a kind of spamdexing The technique involves making repeated web site requests using a fake referrer URL to the site the spammer wishes to ...,spam kind repeated url referrer
8063,"If your WordPress site's been hacked with malware with fake URLs created and indexed, find out how to remove these from the site and ...",remove site fake wordpress malware
8064,"This paper addresses the challenge of detecting spam URLs in social media, which is an important task for shielding users from links associated with ...",media important paper detecting urls
8065,Symantec is observing an increase in spam messages containing .gov URLs.,increase spam containing observing symantec
8066,URL Blacklisting may not detect all messages containing known spam URLs.,known spam containing urls url
8067,These all are spam links which were caused by the URL Injection attack on my website.,links caused attack spam url
8068,Such as ... Drop a respons if you have a/the solution to block this spam urls from Google search.,solution block search spam urls
8069,Test site for Sophos Cloud Web Gateway products.,web gateway cloud products test
8070,Detecting spam is a major problem in these days in social network sites.,major problem sites spam days
8071,"URL-shortening services are giving spammers a new way to reach mass audiences, according to new ...",new way audiences url spammers
8072,Spammers are known to promote a variety of products or services using URLs.,services using known promote spammers
8073,"I am a small website owner and developer, and I am very annoyed by Mcafee and their failure to help me in an ...",failure help website annoyed developer
8074,"Upon further probing, Trend Micro researchers found that this spam campaign may have started around July 17 or earlier.",earlier spam micro 17 july
8075,"Running PAN-OS 6.1.15 and content 709, when I filter for ""spam-urls"" (a category that I wasn't really aware of previously), Panorama returns ...",really aware 15 urls panorama
8076,This is an example URL which should be categorized as a Spam URLs website with a low risk reputation ...,website low reputation url categorized
8077,"If you see a warning about an unsafe link on Twitter, this means the URL ... potentially harmful URLs which may lead to phishing, malware, or spam sites or sites ...",url potentially lead twitter phishing
8078,"Using a modest collection of cloud machinery, we process 638,000 URLs per day.",using modest machinery urls 000
8079,The easiest way to deal with this is to: - Go to the Google Analytics Admin section - Select the correct view - Go to Filters,way section admin filters analytics
8080,Django + Fighting Spam Made Easy.,spam easy django fighting
8081,Solution: You can also scan your website or the domain of the URL through these online scannershttps://sitecheck.sucuri.net/https://www.virustotal.com/ (choose.,scan website scannershttps sitecheck sucuri
8082,I think it might be a good idea to add the URLs present in the spam postings here in the Untangle forum (kudos for the prompt removals) to the ...,good idea postings urls removals
8083,"Request PDF on ResearchGate | On Apr 1, 2018, Wafaa Daffa and others published A Survey On Spam URLs Detection In Twitter.",request pdf 2018 daffa researchgate
8084,The figure shows the percentage of the most common short URLs used in spam in 2010.,common short percentage spam 2010
8085,"I need to identify 20 spam URLs and compare them to 20 non spam URLs*** according to the following: Protocol, Host, Port, Default Port, File,...",need identify port non 20
8086,When the Boost cache files do not clear for a long time their quantity becomes huge.,long time quantity boost files
8087,We offer all services which is necessary for maintaining your website up and running ...,services necessary offer maintaining website
8088,"However, they're using a link to a forum, where they posted the original bigasoft.com URL that's probably now blocked on Super User.",probably user blocked bigasoft com
8089,"Approximately 100% of spam URLs haven't been blacklisted yet, because they are being generated by high-speed automated processes.",generated high 100 haven urls
8090,"I have asked you so many times and wrote you through your website contact, if it would be possible to disable url's from spammers!",possible wrote url disable spammers
8091,Referral spam occurs when your website gets fake referral traffic from spam bots and this fake traffic is recorded by your Google Analytics.,traffic spam gets occurs analytics
8092,"Most users get worried and anxious about spam, which is normal — nobody likes weird URLs showing up in their reports.",users worried showing reports likes
8093,The rise of shortened URLs on services such as Twitter is aggravating the spam problem.,spam problem services rise shortened
8094,"Well, it turns out that the technical issue may have been referring to the handling of Direct Message spam, not with the sending of URLs.",issue referring direct turns technical
8095,You are reading this probably because your website was recently hacked and hundreds or thousands of spammy urls were added to your ...,probably website reading added hacked
8096,Problem is that I can not find these URLs and so can not delete them.,problem urls delete
8097,Your email messages contain text or links that are flagged as spam and thus the ... If your message is returned for the reason – “554 rejected due to spam URL in ...,returned reason contain url flagged
8098,Has your WordPress website been hacked?,website hacked wordpress
8099,"I just opened the usual spam email and instead of the typical link, it had a nice ... essentially takes you to whatever the GET is, so, the spam URL.",just link typical spam url
8100,"Usually, spammers will place a URL into the body of a spam email, hoping ...",email hoping usually body spammers
8101,"Learn how to submit suspicious emails, suspected phishing mails, spam, and other potentially harmful messages, URLs, and files from your ...",spam potentially learn submit suspected
8102,"To determine if an email may be a phishing scam, the email client looks for a link in your HTML campaign where the display text is a URL.",determine email looks campaign html
8103,"If you have a mutually executed agreement with Webroot, those terms apply to your use of the BrightCloud Service.",terms apply executed mutually webroot
8104,"Value 0 means that the page of URL doesn't contains any pornographic materials, ... To evaluate the performance of different methods in spam URLs mining, we ...",means page mining doesn urls
8106,"Filtering spam, urls and other 'bad' stuff¶. PyBBM contains two settings PYBB_BODY_VALIDATOR and PYBB_BODY_CLEANERS that create very flexible ...",bad stuff pybb_body_cleaners pybb_body_validator pybbm
8107,"Some [3,6] consider features extracted from the HTML content of the landing page.",content landing consider features html
8108,You can use the G-Lock Apps delivery and spam testing tools to test how images and URLs in your email affect Inbox placement.,email affect images placement lock
8109,"When evaluating URLs to determine whether a message is spam, if necessary for load management, the system prioritizes screening of ...",determine message spam screening urls
8110,Other types of ... URLs are the spammers' preferred means of contact.,preferred means types contact spammers
8111,Some forms of hacking create spam URLs appearing to originate from your domain.,create spam originate appearing urls
8112,"Malicious spam email volume has increased and the use of malicious URLS rose 600% in Q3, 2017, highlighting need for an advanced spam ...",increased use urls 600 2017
8113,Symantec reports on a new way spammers are getting victims to click on spam links in e-mails.,spam links new reports victims
8114,I fixed it but google still indexing thousand of pages which does not exist in website.,does exist google pages thousand
8115,Automatically file spam reports with the network administrators who can stop ... There are three things you need to know about to decode these URLs.,things need network reports urls
8116,"Twitter is prone to malicious tweets containing URLs for spam, phishing, and malware distribution.",malicious tweets prone urls containing
8117,"You might want to replace DELETE with SELECT, so you can see what you will delete first.",want delete select replace
8118,"If your URLs are improper, Gmail classifies the emails as spam with the following warning: ""Be careful with this message.",careful message improper urls gmail
8119,"Twitter URLs could be abused for various activities including distributing malware, spread fake news, and redirecting users to a phishing page.",spread fake activities page redirecting
8120,Several organizations maintain and publish free blocklists (a.k.a blacklists) of IP addresses and URLs of systems and networks suspected in ...,organizations maintain free ip suspected
8121,New analysis from Symantec's MessageLabs finds shortened URLs now account for 2 percent of all spam in inboxes (See also: Spam is More ...,percent spam urls shortened symantec
8122,We will ... Check your spam filters to see if the email was blocked.,check spam email blocked filters
8123,Does the server respond in a reasonable amount of time?,reasonable time does server respond
8124,"In 2013 ... Bad links: Avoid linking to unreputable sites or content, or using url ...",links avoid bad url 2013
8125,"The SPAM site is referring your site but they are not persons, they're BOTS.",referring site spam persons bots
8126,"... FROM, From, Reply-To, and Message-ID domains - as well as URLs in messages. ...",message id messages reply domains
8127,I created 2 lists of bad URLs I catch from honeypots for AdBlock Plus.,lists bad plus created adblock
8128,Submit url for malicious malware check and also get the list of top 10 ... Malware authors create genuine looking spam emails to trick users to ...,looking spam authors genuine url
8129,Home Page | Skip to Navigation | Skip to Content | Skip to Search | Skip to Footer.,search skip content home navigation
8130,"6259766, http://svipboots.club/, th3br41n · 6259759, https://bankofamerica.eyfpc.com/login, S4BPhishHunter.",com login 6259759 6259766 bankofamerica
8131,Checked my site in google analytics and immediately noticed spam keywords: ... what would be your suggestions to remove urls like these ...,immediately noticed remove spam urls
8132,It is because of Awesome screenshot add-on.,awesome screenshot add
8133,Link shortening is a popular tool with spammers because it hides the true identity of the landing page URL.,popular tool landing hides spammers
8134,"Because shortened URLs are so short, they are vulnerable to ... Sometimes legitimate shortened URLs are reported as spam, leading URL ...",short vulnerable spam shortened reported
8135,"How Spammers Hijack Abandoned URLs to Spread SEO Garbage ... rules—create vast networks of interlinked spam content sites, in part on ...",content sites rules abandoned hijack
8136,Once I did that it fixed the issues and did not see any more spam 404 URL's in webmaster tools.,issues did tools url webmaster
8137,"Malicious URLs comprise phishing URLs, spamming URLs, and malware URLs.",malicious urls malware phishing spamming
8138,Recent work has shown that spam URL blacklists work poorly for online social media because ...,recent work poorly spam url
8139,Spam link injection hack displayed on mobile device .... afraid that they'd see the URL and assume I was reporting that URL for spam violations.,device afraid url displayed violations
8140,URL Spamming is another area they've been known to also look at.,known look area url ve
8141,When should you disavow a URL instead of the entire domain?,instead entire domain disavow url
8142,"Office 365 Phishing Campaign Hides Malicious URLs in SharePoint Files ... A recent report this week by Kaspersky Lab found that spam email, ...",spam email lab hides kaspersky
8143,You can report spam links to Abuse@bitly.com to be blocked.,report spam blocked abuse com
8144,"Users may be surprised to learn just how much spam is being ... and others to block malicious IP addresses, URLs, and/or domain names.",just spam learn names ip
8145,"quently tweeted URLs tend to fall in two opposite categories: they are either high in quality, or they are spam.",tend fall quality urls quently
8147,You'll also note that some services block fresh Spamhaus spam URLs but not suspended domains.,services block urls suspended ll
8148,"If you're using vanity URLs for your emails, your messages are less likely to end up in the spam folder of inboxes.",messages likely folder urls inboxes
8149,"As Africa Welcomes Faster Internet Access, Botnets Move in to Capitalize. •",faster internet capitalize africa welcomes
8154,This was a email message sent to my markrlondon@... account.,message sent email account markrlondon
8155,This article deals with the problem of Google Analytics referrer spam ... Ideally you SHOULD NOT VISIT those URLs to check them out.,problem google visit deals ideally
8156,An obfuscated URI or URL is a website address that is concealed or misleading.,website address misleading concealed obfuscated
8157,New issue 460935 by rljewell...@gmail.com: Devunity.org spam urls opening https://code.google.com/p/chromium/issues/detail?id=460935,new issue 460935 rljewell devunity
8158,"If http://some.spam.tld on Spam-blacklist, it still lets out following constructions: <nowiki>http://some.spam.tld</nowiki>; http&#x3a ...",lets following constructions x3a tld
8159,After entering (fake)password we got a redirection to our offical homepage.,password got homepage fake offical
8160,"If you use Skype, recently you may have received Baidu link spam ... link with a different encrypted url parameter that still redirects to sucuri.net.",link different skype redirects baidu
0,"There's a reason why our boxers are a cult favorite - they keep their cool, especially in sticky situations.",cool especially situations sticky cult
1,Skinning up Glory requires enough movement without your boxers deciding to poach their own route.,glory requires movement boxers skinning
2,These superbreathable no-fly briefs are the minimalist's choice for high-octane endeavors.,choice high minimalist briefs octane
3,"Skin in, climb ice, switch to rock, traverse a knife-edge ridge and boogie back down - these durable, weather-resistant and breathable soft-shell pants keep stride on every mountain endeavor.",skin climb switch breathable endeavor
4,"On high ridges, steep ice and anything alpine, this jacket serves as a true ""best of all worlds"" staple.",true best ice jacket staple
5,Our most technical soft shell for full-on mountain pursuits strikes the alpinist's balance between protection and minimalism.,technical soft strikes pursuits minimalism
6,"A multitasker's cloud nine, the Atom plays the part of courier bag, daypack and carry-on.",carry plays atom daypack multitasker
7,"Our fullest coverage bottoms, the Betina fits highest across the hips with a slightly scooped, lined front.",highest hips betina fits coverage
8,Baby micro d-luxe cardigan - Micro D-Luxe is a heavenly soft fabric with down-to-earth applications.,soft fabric heavenly luxe cardigan
9,"This hat goes on when the sun rises above the horizon, and stays on when raindrops start falling.",goes sun stays rises hat
10,"Soft, stretchy polyester fabric is fast wicking, quick drying and breathable <br><br><b>Details:</b><ul> <li>Lap shoulders relax the silhouette </li> <li>Extended roll-down cuffs accommodate growth spurts; drop hem waist provides extra coverage</li></ul><br><br><b>Fabric: </b>4.3-oz 100% polyester jersey.",fabric fast br details oz
11,"Even Baggies, our most popular shorts for anything, or nothing, occasionally need an update.",occasionally need popular update shorts
12,"Whenever you're at the junction of water and land, neutralize the sun's unforgiving rays with the wide brim and soft design of our versatile Beach Bucket.",water land versatile junction unforgiving
13,June nights camped out in New Mexico's Navajo country are starry and cold.,country starry new june camped
14,Borderless shorts-11 in. -,borderless shorts 11
15,Borderless shorts-7 in. -,borderless shorts
16,"Besides its shade-casting prowess, the Bucket provides perfect eye cover after an extra-large fish taco fest.",perfect eye bucket taco fest
17,Cap 1 bottoms - Spring skiing is as transient as the wind.,spring skiing wind cap bottoms
18,"On bivy or belay, the form-fitting Capilene 1 Boxer Briefs stay dry and comfortable.",dry comfortable form boxer belay
19,Cap 1 graphic t-shirt - This tee is made from our lightest-weight Capilene fabric to achieve a harmonic balance between technical ability and slacker prowess.,fabric achieve prowess harmonic slacker
20,"Cap 1 t-shirt - Minimally styled but technically evolved for punishing expanses of hot country, our silky, ultra-breathable Capilene 1 T-Shirt is quick to wick and fast to dry.",fast dry styled punishing expanses
21,"Cap 2 t-shirt - This one revels in the sweat jamborees of hill climbs, ridge runs and desert singletrack under a resolute sun.",runs desert cap resolute revels
22,"Designed for wet-then-chill pursuits like backcountry skiing, alpine climbing and mountain trekking, our fastest-drying performance baselayer will keep you cool during endurance activities in warmer temperatures, but also insulates when skies turn dark.",activities warmer endurance fastest baselayer
23,Capilene 3 provides excellent insulation and next-to-skin comfort for endurance activities in cool to cold conditions.,cold conditions provides insulation endurance
24,"Cap 4 bottoms - For sufferfests like the Grand in January, a pair of these warm bottoms will add a bright side to your grief.",add bright grand grief january
25,"Illustrating the renaissance of sea-inspired, community living, artist Geoff McFetridge's work adorns the City-By-The-Sea T-Shirt.",city sea illustrating adorns geoff
26,"The ultimate do-everything pants, built to withstand daily abuse.",withstand daily ultimate built abuse
27,"The ultimate do-everything pants, built to withstand daily abuse.",withstand daily ultimate built abuse
28,"Wrinkle-resistant travel shorts that do what any great mountainside-to-museum garment should: wick moisture, dry quickly, and look sharp after successive days of use.",quickly look museum wick successive
29,"A classic in fabric and form, the 5.6-oz 100% organic cotton brushed canvas of these board shorts provides lightweight durability in and out of the water, with a pattern inspired by plantation-era cane field workshirts.",fabric form era plantation oz
30,"Crosstown or cross-country, this fully featured commuter backpack ensures that your life stays organized whether you're office-bound, hiking the steep and narrow, or somewhere in the global commute.",country fully steep backpack featured
31,The graveyard shift has its advantages: quitting time = dawn patrol.,time dawn patrol advantages quitting
32,"Whether you're chasing Olympic Peninsula chrome or reaching for stripers beyond the break, sometimes you simply have to jump in and go deep.",break simply peninsula chrome olympic
33,Locals know all the best spots.,know best spots locals
34,"Impossible to confuse with the sweater vests found at golf courses and bingo parlors, ours comes packed with ultra-toasty 800-fill down that traps heat in alpine conditions.",comes packed vests alpine confuse
35,These dragoons have dropped their weapons in favor of big wave guns.,weapons favor big dropped wave
36,"Essential wear for splitting logs, driving nails or applying a little more chewing gum to the crack in the U-joint.",applying little gum joint crack
37,Clean as a Wingate splitter.,clean wingate splitter
38,"The dirtbagger's complete wardrobe - wear it bouldering, working the slack line, and setting up a bivy out of view of the ranger's probing eyes.",line setting probing ranger bivy
39,Look fresh even when you feel disheveled.,fresh feel look disheveled
40,"Dependent on free-flowing currents, the Salmon's extraordinary cycle of life perseveres with the Fish Frenzy T-Shirt.",cycle life salmon shirt frenzy
41,"This sturdy wheeled bag holds a week's worth of clothes and keeps boots or dirty gear in a separate compartment, a floating baffle separating the two.",gear separate week boots wheeled
42,"The travel-tested, quick-drying durability of Gi II Pants stand up to rock and river, and provide life-of-the-garment 40-UPF sun protection.",provide life 40 ii gi
43,"Base camp favorites, the Gi II's featherlight weight and motion-friendly crotch gusset invite day hikes, bouldering sessions, and dips in the creek.",invite day gi bouldering gusset
44,"Built for two-week camping trips on Baja beaches, these capris are made of a lightweight, soft-brushed 3.7-oz 100% microfiber polyester that handles salt water, sand and dirt, dry quickly, and have a DWR (durable water repellent) finish.",durable water week capris baja
45,So you're raising Neptune's daughter - put her in some boardies.,raising daughter boardies neptune
46,"This soft cotton dress feels breezy and cool, just like a day at the beach.",cool just dress beach cotton
48,"From standing waves to blue-water wind chop, there's one universal truth: Boat decks get wet.",truth boat blue chop universal
49,"For serious angling expeditions, the Guidewater Duffel Max lives up to its name, hauling maximum gear with grace and efficiency.",maximum gear grace expeditions duffel
50,Pounding into the teeth of a nor'easter or swinging tips through the deluge  the Guidewater keeps you fishing comfortably long after other anglers have headed for the barn.,long anglers deluge easter guidewater
51,"Everything we love about the Guidewater Pants, and less.",love guidewater pants
52,"Find the tippet, tool or fly box you need without taking your eyes of that big bank feeder.",need taking box tool feeder
53,"The constant boat angling dilemma: You know you should wear one, but who wants to fish all day in a life vest?",know constant dilemma vest angling
55,"The effects of global warming run deep, depicted here on the Iceberg T-Shirt with artwork by wood block print artist Nick Wroblewski.",run deep depicted nick iceberg
56,"Steelhead, salmon, trout...they aren't called ""coldwater"" fisheries for nothing.",salmon trout called fisheries coldwater
57,'73 logo t-shirt - Soft-wearing ringspun organic cotton; Screen-print inks are PVC- and phthalate-free<br><br><b>Details:</b><ul> <li>Ribbing at neck stretches for easy on/off</li> <li>Screen-printed size label on back of neck won't chafe tender skin</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton.,shirt soft 73 ul phthalate
58,"These shorts have a mud-, sand- and grass-resistant blend of tough 4-oz 95% nylon (60% recycled)/5% spandex for the wide panorama of kid endeavors, and feature built-in 40-UPF sun protection and a DWR (durable water repellent) finish.",durable water endeavors panorama upf
59,Kids live at full throttle.,kids live throttle
60,"Cap 3 bottoms - Like birds and clouds, kids stay on the move.",like birds stay clouds cap
61,"Resistant to hard play but irresistible against the skin, our El Cap Jacket is lightweight, quick-drying and way cozy.",way resistant cap irresistible el
62,Soft-wearing ringspun organic cotton; Screen-print inks are PVC- and phthalate-free<br><br><b>Details:</b><ul> <li>Ribbing at neck stretches for easy on/off</li> <li>Screen-printed size label on back of neck won't chafe tender skin</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton.,cotton screen won phthalate chafe
63,Soft-wearing ringspun organic cotton; Screen-print inks are PVC- and phthalate-free<br><br><b>Details:</b><ul> <li>Ribbing at neck stretches for easy on/off</li> <li>Screen-printed size label on back of neck won't chafe tender skin</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton.,cotton screen won phthalate chafe
64,Soft-wearing ringspun organic cotton; Screen-print inks are PVC- and phthalate-free<br><br><b>Details:</b><ul> <li>Ribbing at neck stretches for easy on/off</li> <li>Screen-printed size label on back of neck won't chafe tender skin</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton.,cotton screen won phthalate chafe
65,"The roomy kangaroo-style front pocket on the Kids' Synchilla Marsupial lets them take their rock, leaf and feather collection wherever they go.",pocket kids collection feather synchilla
66,"When the barometric pressure gets low, our Torrentshell Jacket keeps spirits high - and dry.",high dry spirits jacket barometric
67,Pray for surf wearing the La Surfer Maria T-Shirt.,surf wearing pray la surfer
68,"Guanacos standing sentry in Patagonia, Chile.",patagonia chile sentry guanacos standing
69,"Our lightest, leanest surf trunks are built for minimal underwater drag when diving and bodysurfing, and they pack down into their own tiny stuff pouch.",tiny stuff trunks pouch leanest
